Date,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle
2020-04-30,-0.56,-0.735,-0.191,-0.34700000000000003,0.18,-0.442,-0.6609999999999999,-0.247,-0.105,-0.19399999999999998
2020-04-30,-0.46799999999999997,-0.868,-0.0915,-0.255,0.287,-0.584,-0.636,-0.124,-0.00292,-0.0512
2020-04-30,-0.47200000000000003,-0.423,-0.12,-0.165,0.18600000000000003,-0.395,-0.575,-0.326,-0.04,-0.12300000000000001
2020-04-30,-0.536,-0.818,-0.19,-0.217,0.27699999999999997,-0.428,-0.7120000000000001,-0.284,-0.11900000000000001,-0.154
2020-04-30,-0.525,-0.855,-0.121,-0.245,0.237,-0.447,-0.7290000000000001,-0.11699999999999999,-0.0204,-0.163
2020-04-30,-0.655,-0.727,-0.22699999999999998,-0.27899999999999997,0.171,-0.489,-0.752,-0.24100000000000002,-0.153,-0.239
2020-04-30,-0.466,-1.09,-0.11699999999999999,-0.0935,0.162,-0.433,-0.6559999999999999,-0.115,-0.17,-0.0913
2020-04-30,-0.41100000000000003,-0.731,-0.0245,-0.098,0.228,-0.36,-0.713,-0.19899999999999998,0.0901,-0.069
2020-04-30,-0.522,-0.603,-0.121,-0.19399999999999998,0.20800000000000002,-0.5529999999999999,-0.631,-0.174,-0.0918,-0.133
2020-04-30,-0.514,-0.725,-0.0457,-0.0018899999999999998,0.293,-0.259,-0.5870000000000001,-0.18899999999999997,0.0217,-0.057999999999999996
2020-04-30,-0.612,-0.863,-0.242,-0.345,0.14300000000000002,-0.542,-0.726,-0.297,-0.0453,-0.203
2020-04-30,-0.586,-0.7709999999999999,-0.222,-0.268,0.254,-0.395,-0.727,-0.23600000000000002,-0.252,-0.196
2020-04-30,-0.536,-0.5670000000000001,-0.11599999999999999,-0.11199999999999999,0.267,-0.525,-0.74,-0.19699999999999998,-0.07400000000000001,-0.11199999999999999
2020-04-30,-0.6409999999999999,-0.648,-0.201,-0.32799999999999996,0.201,-0.47200000000000003,-0.6920000000000001,-0.222,-0.191,-0.183
2020-04-30,-0.49,-0.722,-0.128,-0.10099999999999999,0.239,-0.37200000000000005,-0.675,-0.057999999999999996,-0.146,-0.171
2020-04-30,-0.527,-0.797,-0.0989,-0.18600000000000003,0.32,-0.546,-0.6779999999999999,-0.268,-0.0731,-0.0536
2020-04-30,-0.723,-0.688,-0.196,-0.322,0.127,-0.435,-0.6990000000000001,-0.475,-0.212,-0.20800000000000002
2020-04-30,-0.499,-0.568,-0.138,-0.28800000000000003,0.155,-0.21600000000000003,-0.622,-0.17,-0.139,-0.127
2020-04-30,-0.644,-0.7759999999999999,-0.262,-0.426,0.31,-0.48200000000000004,-0.675,-0.268,-0.249,-0.264
2020-04-30,-0.58,-0.736,-0.10400000000000001,-0.23,0.223,-0.44299999999999995,-0.625,-0.151,-0.276,-0.0488
2020-04-30,-0.608,-0.622,-0.214,-0.349,0.25,-0.514,-0.7240000000000001,-0.243,-0.18600000000000003,-0.166
2020-04-30,-0.71,-0.8140000000000001,-0.26899999999999996,-0.331,0.262,-0.574,-0.727,-0.292,-0.262,-0.268
2020-04-30,-0.605,-0.725,-0.218,-0.307,0.20199999999999999,-0.565,-0.7240000000000001,-0.266,-0.134,-0.17800000000000002
2020-04-30,-0.625,-0.725,-0.24600000000000002,-0.386,0.152,-0.528,-0.701,-0.27699999999999997,-0.2,-0.251
2020-04-30,-0.44,-0.588,-0.045,-0.196,0.252,-0.406,-0.562,-0.0744,-0.0318,-0.0345
2020-04-30,-0.47200000000000003,-0.741,-0.10099999999999999,-0.0325,0.233,-0.358,-0.7340000000000001,-0.222,-0.0725,-0.0965
2020-04-30,-0.447,-0.599,-0.095,-0.128,0.207,-0.355,-0.637,-0.177,-0.0827,-0.0864
2020-04-30,-0.6890000000000001,-0.6920000000000001,-0.26899999999999996,-0.33399999999999996,0.147,-0.48,-0.674,-0.307,-0.273,-0.255
2020-04-30,-0.607,-0.6970000000000001,-0.209,-0.292,0.207,-0.527,-0.7,-0.247,-0.152,-0.198
2020-04-30,-0.693,-0.8540000000000001,-0.299,-0.374,0.0171,-0.419,-0.747,-0.226,-0.494,-0.18899999999999997
2020-04-30,-0.509,-0.716,-0.147,-0.27899999999999997,0.175,-0.43799999999999994,-0.619,-0.233,-0.0938,-0.14800000000000002
2020-04-30,-0.602,-0.865,-0.20199999999999999,-0.205,0.105,0.00455,-0.706,-0.21899999999999997,-0.264,-0.183
2020-04-30,-0.384,-0.723,-0.0412,-0.0427,0.287,-0.345,-0.66,-0.204,0.0399,-0.0982
2020-04-30,-0.519,-0.774,-0.183,-0.375,0.156,-0.38299999999999995,-0.6709999999999999,-0.253,-0.121,-0.162
2020-04-30,-0.506,-0.708,-0.154,-0.364,0.297,-0.311,-0.631,-0.183,-0.215,-0.125
2020-04-30,-0.515,-1.04,-0.1,-0.212,0.14800000000000002,-0.7340000000000001,-0.598,-0.0548,0.00251,-0.127
2020-04-30,-0.616,-0.67,-0.21600000000000003,-0.34,0.17,-0.515,-0.685,-0.3,-0.0469,-0.187
2020-04-30,-0.672,-0.83,-0.253,-0.434,0.128,-0.42200000000000004,-0.6659999999999999,-0.29,-0.285,-0.21600000000000003
2020-04-30,-0.45399999999999996,-0.747,-0.0657,0.053,0.221,-0.214,-0.609,-0.192,-0.0447,-0.0743
2020-04-30,-0.627,-0.6509999999999999,-0.19,-0.223,0.188,-0.466,-0.7090000000000001,-0.23199999999999998,-0.217,-0.174
2020-04-30,-0.485,-0.708,-0.0881,-0.237,0.147,-0.16399999999999998,-0.5539999999999999,-0.23800000000000002,0.0911,-0.0689
2020-05-01,-0.5,-0.721,-0.128,-0.132,0.209,-0.5429999999999999,-0.609,-0.222,-0.0801,-0.14800000000000002
2020-05-01,-0.604,-0.7440000000000001,-0.21600000000000003,-0.294,0.0624,-0.5489999999999999,-0.552,-0.235,-0.12,-0.151
2020-05-01,-0.614,-0.765,-0.21,-0.337,0.11900000000000001,-0.46299999999999997,-0.627,-0.22399999999999998,-0.193,-0.20800000000000002
2020-05-01,-0.42200000000000004,-0.735,-0.0323,-0.11900000000000001,0.237,-0.319,-0.6509999999999999,-0.23,-0.0266,-0.0146
2020-05-01,-0.665,-0.75,-0.298,-0.462,0.192,-0.562,-0.718,-0.315,-0.261,-0.275
2020-05-01,-0.624,-0.7040000000000001,-0.243,-0.39399999999999996,0.141,-0.45899999999999996,-0.71,-0.268,-0.149,-0.23800000000000002
2020-05-01,-0.687,-0.698,-0.27899999999999997,-0.39299999999999996,0.28800000000000003,-0.609,-0.7440000000000001,-0.285,-0.287,-0.266
2020-05-01,-0.649,-0.662,-0.276,-0.319,0.213,-0.89,-0.6509999999999999,-0.359,-0.0216,-0.256
2020-05-01,-0.782,-0.5770000000000001,-0.42200000000000004,-0.379,0.0312,-0.51,-0.8059999999999999,-0.429,-0.371,-0.49200000000000005
2020-05-01,-0.504,-0.631,-0.14300000000000002,-0.319,0.20600000000000002,-0.429,-0.63,-0.221,-0.0765,-0.149
2020-05-01,-0.5429999999999999,-0.685,-0.182,-0.34,0.18899999999999997,-0.439,-0.6559999999999999,-0.23800000000000002,-0.0931,-0.187
2020-05-01,-0.44299999999999995,-0.767,-0.0875,-0.23399999999999999,0.287,-0.521,-0.5710000000000001,-0.109,0.004229999999999999,-0.0617
2020-05-01,-0.44799999999999995,-0.696,-0.109,-0.165,0.2,-0.308,-0.537,-0.324,-0.0255,-0.113
2020-05-01,-0.541,-0.784,-0.19,-0.21899999999999997,0.272,-0.465,-0.6920000000000001,-0.29,-0.12,-0.151
2020-05-01,-0.515,-0.8640000000000001,-0.109,-0.23199999999999998,0.22899999999999998,-0.43700000000000006,-0.7120000000000001,-0.0936,-0.0205,-0.14800000000000002
2020-05-01,-0.627,-0.655,-0.223,-0.289,0.17,-0.494,-0.703,-0.23399999999999999,-0.14,-0.233
2020-05-01,-0.46,-0.9129999999999999,-0.109,-0.10099999999999999,0.18100000000000002,-0.373,-0.649,-0.10800000000000001,-0.156,-0.09300000000000001
2020-05-01,-0.386,-0.654,-0.0231,-0.109,0.24,-0.337,-0.664,-0.18,0.0691,-0.0513
2020-05-01,-0.49700000000000005,-0.634,-0.105,-0.166,0.207,-0.486,-0.606,-0.147,-0.0664,-0.12300000000000001
2020-05-01,-0.512,-0.68,-0.0453,0.0145,0.217,-0.287,-0.5770000000000001,-0.183,0.0296,-0.0603
2020-05-01,-0.589,-0.7809999999999999,-0.23800000000000002,-0.33399999999999996,0.15,-0.526,-0.665,-0.3,-0.0306,-0.188
2020-05-01,-0.5710000000000001,-0.72,-0.218,-0.245,0.268,-0.379,-0.71,-0.23399999999999999,-0.305,-0.182
2020-05-01,-0.52,-0.593,-0.0994,-0.11699999999999999,0.292,-0.546,-0.7120000000000001,-0.18899999999999997,-0.0533,-0.0968
2020-05-01,-0.626,-0.6609999999999999,-0.198,-0.316,0.20600000000000002,-0.48200000000000004,-0.6629999999999999,-0.22399999999999998,-0.185,-0.17600000000000002
2020-05-01,-0.48200000000000004,-0.705,-0.11599999999999999,-0.127,0.24100000000000002,-0.381,-0.643,-0.0347,-0.11599999999999999,-0.171
2020-05-01,-0.49700000000000005,-0.653,-0.102,-0.179,0.34299999999999997,-0.5379999999999999,-0.653,-0.272,-0.078,-0.0554
2020-05-01,-0.687,-0.743,-0.18100000000000002,-0.31,0.157,-0.43200000000000005,-0.67,-0.271,-0.18600000000000003,-0.182
2020-05-01,-0.485,-0.643,-0.13699999999999998,-0.28,0.14300000000000002,-0.245,-0.5920000000000001,-0.18600000000000003,-0.121,-0.11800000000000001
2020-05-01,-0.637,-0.804,-0.251,-0.408,0.304,-0.41200000000000003,-0.654,-0.259,-0.258,-0.245
2020-05-01,-0.5660000000000001,-0.789,-0.0905,-0.196,0.237,-0.402,-0.625,-0.13,-0.0877,-0.0437
2020-05-01,-0.575,-0.685,-0.19699999999999998,-0.33,0.272,-0.5,-0.705,-0.226,-0.18,-0.147
2020-05-01,-0.701,-0.77,-0.271,-0.354,0.256,-0.616,-0.7,-0.298,-0.266,-0.27
2020-05-01,-0.588,-0.792,-0.20800000000000002,-0.292,0.228,-0.556,-0.7,-0.256,-0.127,-0.166
2020-05-01,-0.613,-0.731,-0.237,-0.385,0.165,-0.506,-0.674,-0.27399999999999997,-0.179,-0.243
2020-05-01,-0.423,-0.602,-0.0321,-0.175,0.244,-0.361,-0.5589999999999999,-0.0712,0.011000000000000001,-0.0218
2020-05-01,-0.46,-0.7909999999999999,-0.0996,-0.0124,0.25,-0.387,-0.7120000000000001,-0.217,-0.0781,-0.0931
2020-05-01,-0.424,-0.6559999999999999,-0.0812,-0.0992,0.20199999999999999,-0.34,-0.613,-0.18,-0.0627,-0.069
2020-05-01,-0.6759999999999999,-0.659,-0.27,-0.325,0.142,-0.514,-0.662,-0.305,-0.275,-0.258
2020-05-01,-0.593,-0.7090000000000001,-0.207,-0.289,0.225,-0.537,-0.685,-0.257,-0.132,-0.19
2020-05-01,-0.539,-0.9490000000000001,-0.27,-0.33799999999999997,0.0325,-0.297,-0.866,-0.177,-0.611,-0.15
2020-05-01,-0.494,-0.705,-0.131,-0.262,0.183,-0.413,-0.606,-0.225,-0.0657,-0.133
2020-05-01,-0.589,-0.667,-0.214,-0.237,0.0814,-0.165,-0.64,-0.21600000000000003,-0.26899999999999996,-0.19699999999999998
2020-05-01,-0.364,-0.685,-0.0333,-0.027999999999999997,0.276,-0.325,-0.635,-0.196,0.0456,-0.0877
2020-05-01,-0.508,-0.7759999999999999,-0.18600000000000003,-0.373,0.145,-0.395,-0.648,-0.256,-0.138,-0.16
2020-05-01,-0.516,-0.696,-0.141,-0.34600000000000003,0.301,-0.294,-0.633,-0.162,-0.191,-0.11800000000000001
2020-05-01,-0.47200000000000003,-0.9520000000000001,-0.0522,-0.129,0.174,-0.7,-0.5760000000000001,-0.0437,0.0724,-0.0754
2020-05-01,-0.604,-0.732,-0.20800000000000002,-0.34,0.185,-0.489,-0.7020000000000001,-0.29,-0.0296,-0.184
2020-05-01,-0.654,-0.805,-0.249,-0.415,0.13699999999999998,-0.47200000000000003,-0.628,-0.284,-0.249,-0.217
